image_url,source_url,source_name,caption,categories,weather,occasion,colors,gender
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/women/50b26897decb50334984ad7b5a1b566f.jpg","","Curated","White camisole with denim mini skirt and white sneakers.","{camisole,mini skirt,sneakers}","{hot,sunny}","{casual,daytime}","{white,blue}","women"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/women/a493c3f6d16a2410efd5eb799cc14ce4.jpg","","Curated","White fitted tee with striped shorts, cap, and sneakers.","{t-shirt,shorts,cap,sneakers}","{hot,warm}","{casual,daytime}","{white,green,multicolor}","women"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/women/b7eb72cce85a3da0644518572c3170c3.jpg","","Curated","Black polka-dot top with denim shorts, knee boots, and white bag.","{top,shorts,boots,handbag}","{warm,sunny}","{casual,going out}","{black,blue,white,brown}","women"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/women/d4ab53e797d14db4835f2dab317df793.jpg","","Curated","Striped button-up with denim mini skirt and mary jane shoes.","{button-up,mini skirt,mary janes,socks}","{warm,sunny}","{casual,daytime}","{blue,white,green,black}","women"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/women/3570e479d09fd96393d7493de07cfb75.jpg","","Curated","White tank with loose white pants and shoulder bag.","{tank top,trousers,handbag}","{hot,sunny}","{casual,vacation}","{white,black,brown}","women"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/women/7c7ba5353c2465d4b18775fe20a33fad.jpg","","Curated","Asymmetric cream top with white shorts and flats.","{top,shorts,flats,handbag}","{hot,warm}","{going out,daytime}","{cream,white,brown,gold}","women"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/women/aeb0a5f9359cb3391c3a7c8a28c93679.jpg","","Curated","Oversized gray hoodie with dark wide-leg jeans and beanie.","{hoodie,jeans,beanie}","{cold}","{casual,cozy}","{gray,blue,black}","women"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/women/b6d63ee372ed152a2a4d2672f7284dbd.jpg","","Curated","Dark oversized jacket layered over hoodie with baggy pants and sneakers.","{jacket,hoodie,jeans,sneakers,handbag}","{cold}","{casual,streetwear}","{black,charcoal,white,brown}","women"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/women/f9df8d6653abecc75264fa280c200d49.jpg","","Curated","Off-shoulder cream sweater with loose blue jeans and clogs.","{sweater,jeans,clogs,handbag}","{cold,cool}","{casual,daytime}","{cream,blue,brown}","women"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/women/f3491f8ce3d27ec717af5af004e573cb.jpg","","Curated","Leather jacket with black jeans, scarf, cap, and sneakers.","{leather jacket,jeans,scarf,cap,sneakers,handbag}","{cold}","{casual,streetwear}","{black,white,green}","women"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/women/bcf51029499a6c453f0210362f45a548.jpg","","Curated","Leather jacket over gray hoodie with baggy jeans and headband.","{leather jacket,hoodie,jeans,headband,handbag}","{cold}","{casual,streetwear}","{black,gray,blue}","women"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/women/2b480405cc713ad63e075fe1bf20664b.jpg","","Curated","Puffer vest layered over sweatshirt with loose green jeans and clogs.","{puffer vest,sweatshirt,jeans,clogs,handbag}","{cold}","{casual,streetwear}","{gray,green,brown,black}","women"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/women/1d40b442a46f101ed8c5a00e369dec86.jpg","","Curated","Black tank bodysuit with denim mini skirt, leather jacket, and tall boots.","{tank top,mini skirt,leather jacket,boots,handbag}","{cool,night}","{going out,date night}","{black,blue,brown}","women"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/women/e3c91ad173b1fd0179366a14ac5a25b1.jpg","","Curated","Oversized graphic tee with denim shorts and tall boots for a night-out look.","{graphic tee,shorts,boots,handbag}","{warm,night}","{going out,concert}","{brown,blue,beige}","women"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/women/15c679ae770a58eb291be71db7cff8e3.jpg","","Curated","Brown bodysuit with dark flared jeans and shoulder bag.","{bodysuit,jeans,handbag}","{warm,night}","{going out,date night}","{brown,black}","women"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/women/249b50e6fcd80f529aece36a3004ff92.jpg","","Curated","Oversized leather jacket with denim mini skirt and tall black boots.","{leather jacket,mini skirt,boots}","{cool,night}","{going out,date night}","{black,blue}","women"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/women/b97f8667328d2db71306ee116c34718e.jpg","","Curated","Burgundy corset top with dark pinstripe trousers and scarf.","{corset top,trousers,scarf,handbag,heels}","{warm,daytime}","{going out,date night}","{burgundy,black,white}","women"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/women/047d6b037f8b4428c5f00d4ec655e058.jpg","","Curated","Black halter top with loose light-wash jeans and black heels.","{halter top,jeans,heels}","{warm,night}","{going out,dinner}","{black,beige}","women"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/women/c0fb2e8ec7771a334718d8e3be7ae309.jpg","","Curated","Burgundy off-shoulder top with wide-leg jeans and heels.","{top,jeans,heels,handbag,belt}","{warm,night}","{going out,date night}","{burgundy,blue,black}","women"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/women/5d5d02a40db1431162ed8c4794026db0.jpg","","Curated","Red glossy cami with baggy light-wash jeans and sneakers.","{tank top,jeans,sneakers,handbag}","{warm,night}","{going out,party}","{red,blue,white}","women"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/women/7935d5902e3d1701386ae3f38c9ab8d9.jpg","","Curated","Tan vest over black long-sleeve top with loose jeans and boots.","{vest,long-sleeve,jeans,cap,boots,handbag}","{cool}","{casual,streetwear}","{tan,black,blue,brown}","women"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/women/55969a711eaa10b0fd9e97897176e43e.jpg","","Curated","Blue and white track jacket with oversized jeans and sneakers.","{track jacket,jeans,sneakers,glasses}","{cool}","{casual,streetwear}","{blue,white}","women"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/women/f570b96b10c2c47b268b7e41bd1e2108.jpg","","Curated","Olive cropped sweatshirt with long denim shorts, cap, and sneakers.","{sweatshirt,shorts,cap,sneakers,handbag}","{warm}","{casual,streetwear}","{olive,blue,yellow,brown}","women"
